Model,Gender,Description,Price,Benefits,Photo
Nike G.T. Cut 3,Men,"How can you separate your game when it’s winning time? Start by lacing up in the G.T. Cut 3. Designed to help you create space for stepback jumpers and backdoor cuts, its sticky multicourt traction helps you stop on a dime and shift gears at will. And when you're making all those game-changing plays, the newly added, ultra-responsive ZoomX foam helps keep you fresh for four quarters.",$144.97 ,"    Upgraded breathable engineered mesh upper
    ReactX foam midsole surrounds forefoot and heel Air Zoom units for an energized ride.
    Signature waffle-inspired rubber outsole for traction and flexibility
    Plush collar tongue and sockliner for a secure and comfortable fit
    What's new? All-new ReactX foam midsole is 13% more responsive than previous React technology.
    Crafted for performance and planet, ReactX foam is engineered to reduce its carbon footprint by at least 43% in a pair of midsoles due to reduced manufacturing process energy compared to prior React foam. The carbon footprint of ReactX is based on cradle-to-gate assessment reviewed by PRé Sustainability B.V and Intertek China. Other midsole components such as airbags, plates or other foam formulations were not considered.",https://i.imgur.com/g1EK29f.png
Nike Pegasus 41 - F,Women,"Responsive cushioning in the Pegasus provides an energized ride for everyday road running. Experience lighter-weight energy return with dual Air Zoom units and a ReactX foam midsole. Plus, improved engineered mesh on the upper decreases weight and increases breathability.",$140 ,"    Upgraded breathable engineered mesh upper
    ReactX foam midsole surrounds forefoot and heel Air Zoom units for an energized ride.
    Signature waffle-inspired rubber outsole for traction and flexibility
    Plush collar tongue and sockliner for a secure and comfortable fit
    What's new? All-new ReactX foam midsole is 13% more responsive than previous React technology.
    Crafted for performance and planet, ReactX foam is engineered to reduce its carbon footprint by at least 43% in a pair of midsoles due to reduced manufacturing process energy compared to prior React foam. The carbon footprint of ReactX is based on cradle-to-gate assessment reviewed by PRé Sustainability B.V and Intertek China. Other midsole components such as airbags, plates or other foam formulations were not considered.",https://i.imgur.com/fjHLWVY.png
Nike Free Metcon 6,Men,"From power lifts to ladders, from grass blades to grainy platforms, from the turf to the track your workout has a certain purpose, a specific focus. The Free Metcon 6 supports every grunt, growl and “got it!” We added even more forefoot flexibility to our most adaptable trainer and reinforced the heel with extra foam. That means more freedom for dynamic movements during plyos and cardio classes, plus the stable base you need for weights.",$120 ,"    Multi-surface traction pattern is made for any workout surface and activity.
    Comfortable inner sleeve increases ankle support and provides a more seamless fit.",https://i.imgur.com/hW3tcLO.png
Nike Pegasus 41,Men,"Responsive cushioning in the Pegasus provides an energized ride for everyday road running. Experience lighter-weight energy return with dual Air Zoom units and a ReactX foam midsole. Plus, improved engineered mesh on the upper decreases weight and increases breathability.",$140 ,"Upgraded breathable engineered mesh upper
ReactX foam midsole surrounds forefoot and heel Air Zoom units for an energized ride.
Signature waffle-inspired rubber outsole for traction and flexibility
Plush collar, tongue and sockliner for a secure and comfortable fit
What's new? All-new ReactX foam midsole is 13% more responsive than previous React technology.
Crafted for performance and planet, ReactX foam is engineered to reduce its carbon footprint by at least 43% in a pair of midsoles due to reduced manufacturing process energy compared to prior React foam. The carbon footprint of ReactX is based on cradle-to-gate assessment reviewed by PRé Sustainability B.V and Intertek China. Other midsole components such as airbags, plates or other foam formulations were not considered",https://i.imgur.com/XdIpyTd.png
Nike Invincible 3,Men,"Maximum cushioning provides our most comfortable ride for everyday runs. Experience a breathable Flyknit upper and the robust platform of lightweight ZoomX foam that softens impact. Plus, the midsole of this model is wider and taller than the last for even more cushioned comfort.",$180 ,"    Breathable Flyknit upper for a secure fit without bulk
    High and wide ZoomX foam midsole cushions on impact
    Waffle outsole for durable traction
    Extra cushioning around contact points around the heel and tongue
    What’s New? A wider and taller ZoomX foam midsole for maximum comfort and sleek all-around design updates.",https://i.imgur.com/LLonsyQ.png
Nike Cortez,Men,"Was 1972. Now 2023. Sometimes more is better. Recrafting the revered look, we've refreshed the design with a wider toe area and firmer side panels so you can comfortably wear them day in, day out. Reengineered materials help prevent warping and add durability while maintaining the classic '72 shape you fell in love with. Lace up, because tradition keeps getting better.",$90 ,"    Reengineered leather and textile materials keep the look and shape you love and help prevent warping.
    Firmer side panels help keep your foot in place.
    Foam midsole with iconic wedge insert delivers comfort from the get-go.
    Herringbone outsole pattern gives you durable traction and heritage style.
    Padded, low-cut collar looks sleek and feels great.",https://i.imgur.com/ZgImDHA.png
Nike Motiva,Men,"The Nike Motiva helps you step through whatever the day brings, at your pace. Its uniquely patterned outsole and exaggerated rocker combine to give you a super-smooth, cushioned and comfortable ride. This means you can walk, jog or run comfortably and come back for your next leisurely stroll confidently. It gives you optimal support for your every move, every day.",$110 ,"    Soft foam waterfall collar hugs around the ankle and heel for comfort.
    1/2-inner sleeve helps you get the shoe on and off with ease. It also helps reduce rubbing during your workout.
    Widened forefoot, arch and toe box provide a comfortable fit when you're on the go.",https://i.imgur.com/PhIwWjl.png
Nike InfinityRN 4,Women,"Maximum cushioning provides elevated comfort for everyday runs. Experience a soft, rocker-shaped platform made with new ReactX foam underfoot and an ultra-comfortable collar and tongue for a snug feel. Plus, a water-resistant membrane was added to this version to help keep you dry.",$160 ,"    Updated Flyknit upper and a water-resistant membrane help keep you dry
    New ReactX foam in the midsole for extra cushioning
    Waffle outsole for durable traction on the roads
    Ultra-comfortable collar and tongue for a soft, snug fit
    What’s New? New ReactX cushioning for even more comfort and a revamped upper and wider toe box.",https://i.imgur.com/zuRpyBF.png
Nike Phoenix Waffle,Women,The iconic Nike Swoosh brings heritage style to a streamlined sneaker boasting a monochromatic design and a Waffle-textured sole for ultimate traction.,$88 ,"    Reflective windows reference vintage running shoes
    Increased midsole height for enhanced stability and underfoot cushioning
    Improved Waffle outsole with evolved lug placements helps reduce the weight of the shoe while providing traction.",https://i.imgur.com/PDTB1G9.png
Nike Air Max 270,Women,"Nike's first lifestyle Air Max brings you style, comfort and big attitude in the Nike Air Max 270. The design draws inspiration from Air Max icons, showcasing Nike's greatest innovation with its large window and fresh array of colors.",$160 ,"    The Max Air 270 unit delivers unrivaled, all-day comfort.
    Woven and synthetic fabric on the upper provides a lightweight fit and airy feel.
    The foam midsole feels soft and comfortable.
    The stretchy inner sleeve and booty-like construction creates a personalized fit.
    Rubber on the outsole adds traction and durability.",https://i.imgur.com/t1skpSg.png
Nike Dunk Low,Women,"Created for the hardwood but taken to the streets, this '80s basketball icon returns with classic details and throwback hoops flair. Synthetic leather overlays help the Nike Dunk channel vintage style while its padded, low-cut collar lets you take your game anywhere—in comfort.",$79 ,"    Upper ages to soft perfection and features durable construction reminiscent of '80s basketball.
    Foam midsole offers lightweight, responsive cushioning.
    Low-cut, padded collar looks sleek and feels comfortable.
    Rubber outsole with classic hoops pivot circle adds durability, traction and heritage style.",https://i.imgur.com/KvPrxLH.png
Nike Dunk High,Women,"Created for the hardwood but taken to the streets, the '80s b-ball icon returns with crisp leather and retro colors. The classic hoops design channels '80s vintage back onto the streets while the padded, high-top collar adds an old-school look rooted to comfort.",$92 ,"    The crisp leather on the upper ages to soft perfection and features durable overlays reminiscent of '80s b-ball.
    The foam midsole offers lightweight, responsive cushioning.
    The padded, high-top collar adds an old school look that feels comfortable.
    The bold color-blocking features retro colors for added throwback vibes.
    The rubber outsole with classic hoops pivot circle adds durability, tractions and heritage style.",https://i.imgur.com/v4POfY5.png
Jordan Stadium 90,Women,"Evolve your game. The Stadium 90 takes elements from the greats and forges them into something entirely unique. Combining iconic design elements from the AJ1 and AJ5, this is a new classic with an emphasis on comfort, durability and stability.",$120 ,"    Molded collar is inspired by the AJ5.
    AJ1 inspired rubber outsole provides everyday traction.
    Tonal stitching design detail echoes the iconic fire graphic from the AJ5.
    Durable upper is made of real leather, synthetic leather and textile materials.
    Nike Air technology absorbs impact for cushioning with every step.",https://i.imgur.com/Wju9xAc.png
Nike Zegama 2,Women,"Up the mountain, through the woods, to the top of the trail you can go. Equipped with an ultra-responsive ZoomX foam midsole, the Zegama 2 is designed to conquer steep ridges, jagged rocks and races from trailhead to tip. Optimal cushioning complements a rugged outsole made for your trail running journey.",$180 ,"    Ankle gaitor helps limit trail debris.
    Overlays stretch across the toe for extra durability.",https://i.imgur.com/nxMgHP0.png
Nike Pegasus Trail 4 GORE-TEX,Women,"The Nike Pegasus Trail 4 GORE-TEX is made for those moments when you don't want to turn back, no matter what. Feel confident even in the most unforeseen weather conditions with waterproof GORE-TEX keeping you dry, so you can run harder for longer and take your wet run from the road to the trail without breaking stride. A waterproof layer paired with a higher ankle gaiter gives you extra coverage so you stay dry. This special design takes you to trail #440 in the Pacific Northwest, one of nature’s playground’s more distinctive gems, as part of our ongoing #IYKYK series.",$137 ,Less rubber along the outsole creates a smoother transition from road to trail. The rubber wraps around the front of the shoe for extra durability. Its generative traction pattern combined with rubber nubs gives you grip when going uphill or downhill. A generative traction pattern combined with rubber provides extra grip for technical trails while maintaining a smooth ride for the road.,https://i.imgur.com/ID7KJFl.png
Nike Ultrafly,Women,"Manifest your mountainous best, when the trail ahead is skiddy and uncertain. Our all-new championship trail racing shoe melds our best speed components from the running world with what you need to plant your flag first at the finish line. It offers peak performance, sleek speed and endurance for those who want to summit nature’s playground.",$260 ,"    Vaporweave mesh on the upper provides breathability.
    Foam midsole adds cushioning.",https://i.imgur.com/XwnjQVu.png
Nike Juniper Trail 2 GORE-TEX,Men,"The Juniper Trail 2 has waterproof GORE-TEX on the upper, grippy traction and a soft, cushiony midsole. It helps keep your toes dry when the trail conditions are splashy. This special design is part of our ongoing #IYKYK series. It traverses the Pyrenees mountains via the GR 11, using the coastal lighthouses as your guide from the Mediterranean Sea to the Cantabrian Sea.",$130 ,A generative traction pattern combined with rubber lugs gives you grip when going uphill or downhill. It provides optimal grip on the trail and a smoother transition on the road.,https://i.imgur.com/ZpeiKUz.png
